Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
DemoTesting,Chrome 86.0.4240.193,,,2020-11-12 15:43:09,2020-11-12 15:44:22,1m - 12.360s,PASSED
,,,,,,,
Test Cases/DKT-1,Chrome 86.0.4240.193,"Summary: TC1-Test Login Success
Description: Following these steps to test:
1. Open browser, e.g Chrome
2. Navigate to URL [http://localhost:6969/demotesting|http://localhost:6969/demotesting]
3. Type username: thinhtpt@gmail.com
4. Type password: 123456
5. Click login button
6. Verify welcome title: Hi, Tran Thinh",jira-integration,2020-11-12 15:43:10,2020-11-12 15:43:26,16.046s,PASSED
"openBrowser("""")",Chrome 86.0.4240.193,,,2020-11-12 15:43:10,2020-11-12 15:43:17,6.413s,PASSED
"navigateToUrl(""http://localhost:6969/demotesting/"")",Chrome 86.0.4240.193,,,2020-11-12 15:43:17,2020-11-12 15:43:21,4.085s,PASSED
"setText(findTestObject(""Object Repository/Page_Login Page/input_Username_txtUsername""), ""thinhtpt@gmail.com"")",Chrome 86.0.4240.193,,,2020-11-12 15:43:21,2020-11-12 15:43:22,1.076s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Login Page/input_Password_txtPassword""), ""aeHFOx8jV/A="")",Chrome 86.0.4240.193,,,2020-11-12 15:43:22,2020-11-12 15:43:23,0.690s,PASSED
"click(findTestObject(""Object Repository/Page_Login Page/strong_Sign in""))",Chrome 86.0.4240.193,,,2020-11-12 15:43:23,2020-11-12 15:43:24,1.589s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Home Page/h3_Ahihi, Tran Thinh""), ""Ahihi, Tran Thinh!"")",Chrome 86.0.4240.193,,,2020-11-12 15:43:24,2020-11-12 15:43:25,0.399s,PASSED
closeBrowser(),Chrome 86.0.4240.193,,,2020-11-12 15:43:25,2020-11-12 15:43:26,1.203s,PASSED
,,,,,,,
Test Cases/DKT-2,Chrome 86.0.4240.193,"Summary: TC2-Test Login Fail
Description: Following these steps to test:

# Open browser, e.g Chrome
# Navigate to URL [http://localhost:6969/demotesting|http://localhost:6969/demotesting]
# Type username as in attached  excel file
# Type password as in attached  excel file
# Click login button
# Verify error message with error in attached excel file",jira-integration,2020-11-12 15:43:26,2020-11-12 15:43:40,13.558s,PASSED
"openBrowser("""")",Chrome 86.0.4240.193,,,2020-11-12 15:43:26,2020-11-12 15:43:30,3.480s,PASSED
"navigateToUrl(""http://localhost:6969/demotesting/"")",Chrome 86.0.4240.193,,,2020-11-12 15:43:30,2020-11-12 15:43:36,6.475s,PASSED
"setText(findTestObject(""Object Repository/Page_Login Page/input_Username_txtUsername""), username)",Chrome 86.0.4240.193,,,2020-11-12 15:43:36,2020-11-12 15:43:37,0.851s,PASSED
"setText(findTestObject(""Object Repository/Page_Login Page/input_Password_txtPassword""), password)",Chrome 86.0.4240.193,,,2020-11-12 15:43:37,2020-11-12 15:43:38,0.659s,PASSED
"click(findTestObject(""Object Repository/Page_Login Page/button_Sign in""))",Chrome 86.0.4240.193,,,2020-11-12 15:43:38,2020-11-12 15:43:39,0.889s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Login Page/strong_User is not found""), msg)",Chrome 86.0.4240.193,,,2020-11-12 15:43:39,2020-11-12 15:43:39,0.362s,PASSED
closeBrowser(),Chrome 86.0.4240.193,,,2020-11-12 15:43:39,2020-11-12 15:43:40,0.621s,PASSED
,,,,,,,
Test Cases/DKT-2,Chrome 86.0.4240.193,"Summary: TC2-Test Login Fail
Description: Following these steps to test:

# Open browser, e.g Chrome
# Navigate to URL [http://localhost:6969/demotesting|http://localhost:6969/demotesting]
# Type username as in attached  excel file
# Type password as in attached  excel file
# Click login button
# Verify error message with error in attached excel file",jira-integration,2020-11-12 15:43:40,2020-11-12 15:43:51,11.319s,PASSED
"openBrowser("""")",Chrome 86.0.4240.193,,,2020-11-12 15:43:40,2020-11-12 15:43:43,3.374s,PASSED
